# Behavior Recording - Load Cell Log
# Channel: Load Cell 1
# Serial port: /dev/cu.usbserial-210
# Baud rate: 115200
# Samples: 828
# Duration (s): 10.182
# Average sample rate (Hz): 81.32
Time (s),Value
6.6747,318969
6.6983,318089
6.7011,318247
6.7198,318671
6.7255,319015
6.7363,318485
6.7485,317955
6.7631,318579
6.7732,318754
6.7854,318659
6.8039,319036
6.8113,318534
6.8222,318459
6.8426,318995
6.8496,319129
6.8592,318610
6.8716,318493
6.8942,319342
6.9005,319181
6.9090,318434
6.9237,318493
6.9332,319227
6.9453,319093
6.9651,318498
6.9731,318558
6.9822,319046
7.0040,318983
7.0092,318563
7.0193,318726
7.0315,318713
7.0557,318636
7.0584,318931
7.0685,318924
7.0834,318448
7.0931,318421
7.1055,319108
7.1209,318776
7.1301,318163
7.1423,318537
7.1547,319074
7.1703,318778
7.1791,318598
7.1917,318650
7.2049,318979
7.2162,319261
7.2286,319004
7.2421,318649
7.2533,318337
7.2655,318806
7.2943,318977
7.2947,319159
7.3024,319170
7.3145,319002
7.3301,318968
7.3393,319134
7.3516,318914
7.3663,318731
7.3762,318859
7.3886,318939
7.4034,318846
7.4133,318648
7.4255,318932
7.4407,319235
7.4502,319061
7.4624,318857
7.4929,318824
7.4934,318942
7.4992,318787
7.5118,318751
7.5248,318876
7.5363,318779
7.5485,318804
7.5650,318799
7.5731,318908
7.5854,318869
7.6045,318937
7.6116,318801
7.6224,319132
7.6425,319206
7.6494,319051
7.6594,318694
7.6715,318520
7.6947,318575
7.7013,318650
7.7085,318799
7.7241,318973
7.7332,318792
7.7455,318542
7.7649,318599
7.7730,318939
7.7823,318540
7.7945,318587
7.8095,318702
7.8193,319091
7.8316,319061
7.8571,319049
7.8580,318938
7.8685,318911
7.8867,318930
7.8932,318925
7.9054,318839
7.9177,318603
7.9338,318668
7.9423,318633
7.9546,318605
7.9682,318810
7.9792,318885
7.9917,318955
8.0067,319386
8.0162,328664
8.0286,344294
8.0566,331949
8.0571,326077
8.0653,337332
8.0777,327263
8.0930,321045
8.1023,319460
8.1146,321127
8.1272,317487
8.1392,315275
8.1515,322592
8.1668,318687
8.1761,316968
8.1883,318707
8.2071,319219
8.2148,319338
8.2255,318442
8.2377,317966
8.2611,318345
8.2638,319103
8.2823,318633
8.2899,317902
8.2993,319156
8.3116,319272
8.3240,318659
8.3362,318953
8.3485,318582
8.3656,318344
8.3730,319347
8.3854,319383
8.4043,318563
8.4112,318583
8.4223,319451
8.4404,319153
8.4479,318488
8.4592,317915
8.4716,319051
8.4926,319460
8.4991,318891
8.5085,318633
8.5226,319045
8.5334,318816
8.5455,318294
8.5657,318477
8.5735,318521
8.5824,318649
8.6044,319062
8.6094,318974
8.6194,318454
8.6417,318383
8.6480,318947
8.6562,319112
8.6685,318516
8.6913,318630
8.6979,319056
8.7056,318800
8.7258,318226
8.7318,318487
8.7425,319067
8.7547,318430
8.7702,318482
8.7792,318476
8.7916,318994
8.8054,319246
8.8162,319074
8.8288,318785
8.8424,318637
8.8533,318378
8.8656,318639
8.8938,318768
8.8942,318806
8.9025,318840
8.9248,319244
8.9302,319278
8.9394,318481
8.9518,318429
8.9663,318709
8.9762,318560
8.9885,318557
9.0038,318707
9.0133,318998
9.0255,319206
9.0405,318967
9.0502,318367
9.0624,317625
9.0930,317896
9.0934,318945
9.0992,319158
9.1118,318587
9.1247,318127
9.1361,319321
9.1485,319594
9.1659,318771
9.1737,318241
9.1855,318746
9.2052,318984
9.2131,318494
9.2223,318464
9.2412,318891
9.2489,319227
9.2593,318921
9.2715,318855
9.2933,318835
9.2992,318436
9.3084,318412
9.3234,319008
9.3334,319485
9.3454,319164
9.3656,318473
9.3730,318407
9.3822,318748
9.3949,318313
9.4069,318156
9.4193,318715
9.4515,319048
9.4520,319081
9.4586,319139
9.4685,319133
9.4925,319084
9.4990,319198
9.5053,318730
9.5257,318525
9.5313,318724
9.5422,318891
9.5547,319075
9.5704,319162
9.5791,318831
9.5916,318731
9.6055,318256
9.6162,318216
9.6285,319178
9.6418,319377
9.6530,319062
9.6653,318573
9.6910,318502
9.6964,318706
9.7024,318634
9.7222,318597
9.7281,318701
9.7393,319055
9.7514,319563
